Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Mast Magan,"Arijit Singh, Chinmayi",2 States,4PmYasI57t8uJJAOt0zKud,3uL1IBFhg52VcQqOwAG01E,64,2014-03-14,280161,False,https://open.spotify.com/track/3uL1IBFhg52VcQqOwAG01E,0.659,0.774,7,-7.014,1,0.0372,0.606,0.000333,0.185,0.883,82.995
Kabhi Jo Baadal Barse,Arijit Singh,Jackpot,7ItSsWDIPTiCEdSPu1TMct,3MVPReTwLNOBFb6KjiIRNM,57,2013-10-29,254300,False,https://open.spotify.com/track/3MVPReTwLNOBFb6KjiIRNM,0.451,0.449,0,-6.702,0,0.0293,0.261,0.0,0.143,0.217,149.768
Ik Vaari Aa,"Pritam, Arijit Singh",Raabta,05U9YwErzcnF0PmyPalDo5,7fyiYhn7STpHvT5g0lbncC,62,2017-06-03,274687,False,https://open.spotify.com/track/7fyiYhn7STpHvT5g0lbncC,0.512,0.752,4,-4.857,0,0.0534,0.305,0.0,0.708,0.428,127.965
Dilliwaali Girlfriend,"Pritam, Arijit Singh, Sunidhi Chauhan",Yeh Jawaani Hai Deewani,2Lxoc72vRTGdQfMvj7Ovi1,3W1XPf7mvuQcWQB7U7MbTM,60,2013-03-30,260552,False,https://open.spotify.com/track/3W1XPf7mvuQcWQB7U7MbTM,0.687,0.941,6,-5.23,0,0.0583,0.0811,2.93e-06,0.0697,0.909,138.048
"Pachtaoge (From ""Jaani Ve"")","Arijit Singh, B Praak, Jaani","Pachtaoge (From ""Jaani Ve"")",3Ptq3ARmJ8iTLBb7M7Bho0,5QVHNa0ppJUOoqSd36ovQS,59,2019-08-23,226789,False,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS,0.515,0.691,5,-4.028,0,0.0344,0.624,0.0,0.121,0.484,169.521
Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",Vaaste,7b0RW9Inq2jLmTGonmqv11,0mJTAdmY8olbGQjopDYff3,61,2019-04-06,196044,False,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3,0.444,0.479,5,-5.586,1,0.0436,0.454,0.0,0.095,0.315,89.892
Khairiyat,"Pritam, Arijit Singh",Chhichhore,2Svje8vKEM4VCKxoRyAvA4,5O932cZmzOZGOGZz9RHx20,68,2019-08-31,280282,False,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20,0.534,0.481,0,-9.016,0,0.0412,0.697,0.0,0.142,0.293,124.914
"Tu Hi Meri Shab Hai, Pt. 1",KK,Gangster (Original Motion Picture Soundtrack),58KM0sPteBvwVW6skGRHFh,1pNIbZ1F7CJmk60h6UJaVg,18,2006-12-01,389693,False,https://open.spotify.com/track/1pNIbZ1F7CJmk60h6UJaVg,0.571,0.734,9,-6.059,0,0.0402,0.463,0.000691,0.128,0.552,118.881
"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)","Mithoon, Arijit Singh, Sunidhi Chauhan",Shivaay,0gCcyIYaX8OK2BcKs8behf,1awtp7rf6ajhGY9BgzCHeZ,59,2016-10-07,374205,False,https://open.spotify.com/track/1awtp7rf6ajhGY9BgzCHeZ,0.523,0.557,7,-7.799,1,0.0293,0.813,0.000581,0.0958,0.196,111.766
Lo Maan Liya,Arijit Singh,Raaz Reboot,3I2A5pZmsWxTZqGpGnxdAf,2wJ9d1Gfj8OqcznPAroqvh,59,2016-08-19,300274,False,https://open.spotify.com/track/2wJ9d1Gfj8OqcznPAroqvh,0.568,0.55,11,-6.172,0,0.0262,0.728,3.62e-05,0.251,0.436,110.079
